,prijmeni,krestni_jmeno,obor,body_aj,body_mat,body_cj,letni_skola,souteze,body
190,Jana,Urbanová,Informatika,66,49,54,ne,,0.0
191,Růžena,Vlčková,Technické lyceum,72,79,70,ne,,83.66666666666667
192,Pavla,Marková,Elektrotechnika,69,44,62,ne,,0.0
193,Alexandra,Mašková,Informatika,88,79,83,ne,,93.33333333333333
194,Hana,Šimková,Informatika,50,69,52,ne,,0.0
195,Naděžda,Čermáková,Technické lyceum,71,61,67,ne,,76.33333333333333
196,Matěj,Mašek,Technické lyceum,78,75,56,ano,,0.0
197,Vlastimil,Čermák,Technické lyceum,63,49,53,ne,,0.0
198,Emil,Černý,Elektrotechnika,78,71,70,ne,7. místo (fyzikální olympiáda),83.0
199,Miluše,Novotná,Informatika,67,79,75,ano,,88.66666666666667
